#num,x,y,spp,dbh01,dbh04,hgt,sprout
354,45.36190872,45.72756574,lc,7.448451337,8.75352187,7.9,0
355,41.78852106,44.85625511,lc,0.75,0,1.8,0
356,41.55964686,45.41861041,bp,1.51,1.57,2.9,358
357,41.65028446,45.48473795,bp,3.405915782,3.819718634,4.4,358
358,41.49010693,45.56871798,bp,4.106197532,0,1.6,358
359,41.48078979,45.68160694,bp,3.405915782,3.596901714,4.7,358
360,41.347857,45.66180373,bp,1.22,1.687042397,2.8,358
361,40.40368803,48.91744338,lc,1.08,1.750704374,2.4,0
362,41.82042906,49.21287247,bp,3.278591828,0,3.8,364
363,41.62474983,49.40017471,bp,4.042535555,4.201690498,4.7,364
364,41.73344728,49.44280711,bp,6.939155519,7.161972439,6.9,364
365,41.85837927,49.43215839,bp,2.99211293,3.119436885,4.2,364
366,41.91079217,49.30556912,bp,3.437746771,3.437746771,4.5,364
367,41.95643067,49.38459336,bp,1.88,2.164507226,4,364
368,41.89615681,49.15972847,bp,0.49,0.64,2.1,364
401,0.358001742,-3.389687242,lc,0.24,0.99,1.6,0
402,0.999935947,-1.972034623,lc,0.19,0.81,1.5,0
403,1.725546129,-2.085930847,lc,0.75,1.15,1.8,0
404,2.755722333,-4.591590398,lc,40.68000345,0,5.4,0
405,1.215430341,-9.412438016,lc,32.78591828,0,14.6,0
406,10.99046604,-3.885753083,lc,18.11183252,0,11.4,0
407,12.52566942,-2.785425282,lc,5.952394872,0,5.6,0
408,16.7005775,-0.727915657,lc,22.02704412,0,13.5,0
409,17.00265548,-10.0755008,bp,12.09577567,0,2.8,409
410,21.74400472,-9.617591413,bp,2.59,2.85,2.7,411
411,21.76625039,-9.522532463,bp,9.008169779,0,4.4,411
412,21.57359182,-9.2921288,bp,3.151267873,3.246760839,2.6,411
413,21.62235084,-9.326122197,bp,5.029296202,5.156620156,5.7,411
414,22.0853493,-9.562175368,bp,2.62,2.94,3,411
415,22.25608248,-9.535359168,bp,3.565070725,3.851549623,3.4,411
416,21.46494397,-9.255555249,bp,0.43,0.5,1.4,411
417,21.48763645,-9.191732752,bp,0.5,0.64,1.7,411
418,28.09650269,-4.700221541,bp,10.31324031,9.67662054,6.1,418
419,28.21630003,-4.605000932,bp,4.360845441,4.965634224,4.7,418
420,27.49603365,-9.36657639,lc,10.6315502,0,7.7,0
421,31.68306491,-7.31370316,pt,6.939155519,7.002817496,7.6,0
422,32.57920274,-4.181351697,bp,3.342253805,3.787887646,4.1,423
423,32.70002292,-4.046283969,bp,11.61831085,11.77746579,8.1,423
424,32.80903331,-4.197621347,bp,2.36,2.65,4.8,423
425,32.77300146,-3.849342139,bp,6.811831564,7.002817496,6.9,423
426,33.75886237,-1.982905698,bp,3.883380611,4.074366543,4.7,427
427,33.65070084,-1.902438624,bp,5.347606088,5.665915974,5.7,427
428,33.01996987,-9.352482182,pt,7.034648485,7.60760628,8.9,0
